ID,Name,Review,Instagram,Netflix,Prime,Year,Director,Lead,Acting,Story,Execution,Profundity,Overall,Poster,Genre1,Genre2,Trailer
1,Mother!,"Arronofsky has very skillfully exposed how vulnerable we are when our privacy is exploited.  But this movie is much more than that. If you're a bit into christian mythology and enjoy having symbolism into your movies, this is the one! I strongly suggest you to read about the movie after it ends and read what it meant. I may go as far as to suggest that this movie lies in the bracket of movies like Fight Club; which received negative reviews upon it's release but after some time is regarded as the modern greats.",1,0,1,2017,Darren Aronofsky,"Jennifer Lawrence, Javier Bardem",4,3.4,4.3,1.6,3.3,mother.jpg,Dark,Thriller,https://www.youtube.com/watch?v=XpICoc65uh0
2,The Shape of Water,"I'm not generally into fantasy movies and especially if it is a love story. But this has completely blown my mind. The story is not that complicated; rather easy to decipher but the way it was executed, the acting is just exceptional.  Del Toro has portrayed the female emotions in a masterful manner and has set the benchmark for the fantasy genre. If you want to watch a heart-warming film which doesn't overdoses on the 'cheesy elements' (unlike other fantasies) and captivates you from start to end, this is the one for you.",1,0,0,2017,Guillermo del Toro,"Sally Hawkins, Michael Shannon",4.7,4.2,3.9,1.8,3.65,shape of water.jpg,Romance,Fantasy,https://www.youtube.com/watch?v=XFYWazblaUA
3,Whiplash,"One of my favourite films ever.  One of those powerful and awe-inspiring movie that comes maybe just once a decade. The story line is simple. A boy wants to become a great drummer and his teacher helps him to become one. Simple right? But it didn't get the best academy award for motion picture for nothing. If it doesn't inspire you, nothing can. The cinematography (apart from the acting) is just stunning considering there was no scope for a grandious wide scope shots that generally get the praises. How Chazelle got to make academy winning film from such a simple script is just mind boggling. ",1,1,1,2014,Damien Chazelle,"Miles Teller, J.K. Simmons",4.8,3.8,4.2,4.2,4.25,whiplash.jpg,Drama,Lighthearted,https://www.youtube.com/watch?v=7d_jQycdQGo
4,2001: A Space Odyssey,"This movie lies amongst the most influential movies of all times. Almost like the Interstellar of 1970s! The manner in which Kubrick has made this film taking into consideration what technologies he had to work with at that time is simply unbelievable. And as far as story goes, if you're not a fan of symbolism within the movie, I wouldn't particularly recommend this, as Kubrick has kept the movie open-ended and there are quite a few stretches where there would be no dialogue or background score and it would seem that the movie has come to a halt. But once you see the movie and research a bit about it,  you'll never believe what hit you, as the bigger picture this movie portrays answers one of the greatest intellectual questions of all time - where do we come from and where are we going?",1,1,0,1968,Stanley Kubrick,Kier Dullea,3.7,4.3,4.65,3.75,4.1,2001.jpg,Thriller,Meta,https://www.youtube.com/watch?v=3LAi7l3iQuE&ab_channel=WarnerBros.
5,Midsommar,"One of the most daring films by Ari Aster wherein he experimented wit the idea of a daytime horror film which I should say he executed to perfection. Mind you watching it first time would fill you with complete disgust and the amount of gore in it is insane. But it is one of those gores for which you would develop appreciation for as you give it a long thought. All the elements in the film adds to the suspense and are not there just for the 'horror'. Believe me, if you want to try out something unique and daring, you shouldn't look beyond this.",1,1,0,2019,Ari Aster,Florence Pugh,4,3,4.75,1.5,3.3,midsommer.png,Dark,Horror,https://www.youtube.com/watch?v=1Vnghdsjmd0
6,A Clockwork Orange,"The best movie by Stanley Kubrick in my opinion. It ranks amongst one of the best revenge-based-movies ever! And by that, I don't mean to only point towards the plot, but also towards the way it was executed. It is more of a stylistic movie than your regular ones. The way the dialogoues are delivered isn't just plain old english but rather seems as if poetry is rolling off from actors mouth. the cinematography is phenomenal and it reaches just the perfect amount of abstractness - not too much to be considered crazy and not too little to be seen as a long shot. Trust me, if you want to have a feel of what Kubrick represents, this is the movie that you should be watching.",1,1,0,1971,Stanley Kubrick,Malcom McDowell,4.2,4.4,4.1,2.4,3.8,clockwork orange.png,Dark,Thriller,https://www.youtube.com/watch?v=vN-1Mup0UI0
7,Requime for a Dream,"Hands down the best film by Aronofsky. The story line is very very simple. Some kids are doing drugs and how their lives spiral down because of it. But man it shows more than that! It represents how a person longs for love, the feeling of being connected and the need for being recognized. Be warned, it is a dark movie and won't leave you with a happy face. Aronofsky is know to mess with deepest of human desires and this movie is no exception. It really is a gut wrenching movie and shouldn't be watched while you are going through the motions in your life as this movie definitely won't help your case. You've been warned.",1,1,0,2000,Darren Aronofsky,"Jared Leto, Jennifer Conelly",4.5,3.8,4.6,3.8,4.17,requime for a dream.png,Drama,Dark,https://www.youtube.com/watch?v=jzk-lmU4KZ4
8,Perfect Blue,"Satoshi Kon's movies often deals with the blurring of lines between imagination and reality and no movie other than this executes it to perfection than perfect blue. No wonder Aronofsky took inspiration from this movie to shoot some of the scenes in Requime for a dream to showcase a mentally broken character. A true psycho thriller in making. Make sure to keep a keen eye on the story as it takes a lot of twists and turns. And also one more thing, unlike some of the anime movies out there, this one is very dark showing gratuitous rape scenes, violent and gore murders. It isn't very easy on the eyes. But make no mistake as all these elemnents aren't without a cause and definitely leads upto the climax. Looking for a thriller movie night and popcorn, this is right up your ally!",1,0,0,1997,Satoshi Kon,NA,NA,4.3,4.3,1.5,3.3,perfect blue.jpg,Animated,Thriller,https://www.youtube.com/watch?v=dpaCRJ_u600
9,Birdman,"In terms of cinematography, this movie lies amongst the very best. The directors have tried to do this as a single shot movie, which I should say the least is done to perfection! These kind of movies are either a hit or miss. If you do it perfectly, it makes the movie engaging and absorbing, but if you do even a slight mistake, it leaves a foul taste in mouth. So when I say it is the best single-shot movie out there, I mean it! As far as the story is concerned, it has quite a contemporaray take, as in there isn't a proper plot or climax or anything, but still, the way it has been executed and that it has one an oscar says lot about it! I can go on and on but I leave it to you guys to see this masterpiece for yourself and don't worry, it is so much worth your time!",1,0,0,2014,Alejandro Inarritu,"Michael Keaton, Emma Stones",4.5,3.2,4.6,3.5,3.95,birdman.jpg,Drama,lighthearted,https://www.youtube.com/watch?v=uJfLoE6hanc
10,Parasite,"One of the very few movies out there who are able to cover the complete spectrum of human emotions - from laughter, happiness to sadness and sorrow to even horror and suspense! The film has an amazing storyline which takes twists and turns at the right places so that it retains the viewer's interest. It is that kind of movie where you wouldn't want to leave your sear for even a one second! And it follows the perfect graph of story telling too! Starts with the right pace, picks up a bit of speed to pique interest, then slows down a bit to let you register it and when you think nothing exciting would happen, it bulldozes you with an amazing climax! A must watch!",1,0,1,2019,Boong-Joon Ho,Kang-Ho Song,3.4,4.5,3.8,3.8,3.9,parasite.jpg,Thriller,International,https://www.youtube.com/watch?v=5xH0HfJHsaY
11,Blood Diamond,"How this movie remains so underrated is something I might never understand! Not the very best of Leo but still quite spactacular! Of course it lacks the beauty that is required to name itself amongst the brackets of Revenanat but the storyline itself is so engaing that it earns it spot in my blog. If you want to watch a movie for which you don't have to analyse much but still at the same time should be interesting enough to keep you on the edge of your seat, this is the one for you. Let's just say if you guys liked watching Narcos - which was based on a true story but the directors managed NOT to make it like a documentary, you would 110% enjoy it. ",1,0,1,2006,Edward Zwick,"Leonardo DiCaprio, Jennifer Conelly",3.3,3.8,3.4,1.9,3.1,blood.jpg,Thriller,True Story,https://www.youtube.com/watch?v=yknIZsvQjG4
12,Inception,"I guess this movie doesn't require much of a review as I'm sure by the word of mouth or via the general rave this movie got speaks volumes in itself. But still if looked at it via a filmaker's PoV, it is a masterpiece. It has been strongly suggested that Nolan got the inspiation for it from the Satoshi Kon's Paparika. But although having the advantage of having an animeic medium for story telling, it couldn't get the polt across as easily as the directors would've wanted. But Nolan has executed it to perfection! (Although I'm sure a majority would've had to see the movie twice or thrice to get a grip on it!). It is now only can one marvel at the ease with which the scenes are shown so as to get more than a faint idea of what's going on!",1,0,1,2010,Christopher Nolan,Leonardo DiCaprio,3.3,4.3,4.5,1.7,3.45,inception.jpg,Thriller,Sci-Fi,https://www.youtube.com/watch?v=YoHD9XEInc0
13,Shutter Island,"This is that movie which you should watch on a dark rainy night with a big bowl of popcorn and a warm blanket; in short, a perfect blockbuster! The script is excellent and unlike many suspense movies, the climax lives up (exceede, dare I might say!) to the buildup. It would keep you guessing, on the toes and would venture out to just near the edge of insanity where even the familiarity of the narrator or the protagonist wouldn't give you the comfort of control over what's going on! But wait! This wouldn't kill your interest. The movie doesn't over-milk the thriller essence but rather allows one to get to terms with it slowly and surely. I say, this is one of the best thriller-suspens emovies out there and definitely worth your time!",1,0,1,2010,Martin Scorsese,Leonardo DiCaprio,3.1,3.8,3.1,1.5,2.95,shutter island.jpg,Thriller,Dark,https://www.youtube.com/watch?v=5iaYLCiq5RM
14,The Shawshank Redemption,"""Hope is a good a good thing, maybe the best of things. And good thing never dies."" There's nothing left to say about this movie as there are thousands and thousands of webpages online which have disected the movie to it's purest elements. So it comes as no surprise when it was given the title of being a US national Treasure! Once again - a really simple concept. Man goes to Jail and tries to escape it; a mark of a truly great film. But the way the dynamics are portrayed between the protagonists, his friends, the Warden is so exceptional that it trancends the feeling of watching a movie. You feel yourself become one of the prisoners of Shawshank itself; aided by the spectacular narration of Morgan Freeman. I won't say more about this - just that this is one of those movies which you have and have to watch before you die.",1,1,1,1994,Frank Darabont,Tim Robbins,3.4,4.8,4.3,4.7,4.3,shawshank.jpg,Drama,Lighthearted,https://www.youtube.com/watch?v=6hB3S9bIaco&ab_channel=ryy79
15,Forrest Gump,"Probably the most complete movie out there. It is one of those few films which encompases all the emotions into one 'reel' - comedy,adventure,meloncholy,romance, you name it! The best thing that I like about this movie is that it does not have a definite story path. There's no motive or reason to why the protaginist is behaving in such manner. But that's what makes it such a fun to watch as we go on a hilarious yet heart warming journey with Forrest Gump. Apart from that, it has a lot of easter eggs spread evenly which openly mocks some of the infamous moments of the 60s. Keep an eye out for them! I would say this is one of the few light hearted movies which you should definitely watch if you crave something funny yet warm movie.",1,0,1,1994,Robert Zemeckis,Tom Hanks,4.3,4.4,3.8,4.3,4.2,forrest gump.jpg,Comedy,lighthearted,https://www.youtube.com/watch?v=bLvqoHBptjg&ab_channel=ParamountMovies
16,Interstellar,"Directing movies related to space is always tricky. You either need to have a jaw dropping storry line like 2001, or have stunning visuals like Graavity did. But Interstellar masterfully combines both and executes it to perfection. Like trademark of many of Nolan's movies, you will have to watch it twice or thrice to properly understand what actually is happening! (especially the climax).All the elements in this film add on to the story and have a well defined role to play. The reasoning that Nolan provides for each twist and turns are logical and believable. And of course, the amazing background score by Hans Zimmer enhances the feel of the movie!",0,0,1,2014,Christopher Nolan,Matthew McConaughey,3.3,4.3,4.5,1.8,3.45,interstellar.jpg,Thriller,Sci-Fi,https://www.youtube.com/watch?v=zSWdZVtXT7E
17,The Wolf of Wall Street,"This is a movie which appeals to a very specific set of people. A fairly long movie with a few jargons related to finance (but easy to understand thanks to the narration provided inbetween), but if you give it a little try, this movie is a masterclass! The acting by Leo is just fantastic and what makes you appreciate that sentiment more is the fact that how many emotions he had to portray in the film! From euphoria to horror to cunningness to just plain stupidity even! And the acting itself says a lot about the storyline where you wouldn't exactly empathise or relate (unless you're a trader on Wall Street itself!) but rather accept and like him as a shrewd and fun-loving person! Overall, a hugely entertaining movie!",0,1,1,2013,Martin Scorsese,Leonardo DiCaprio,3.9,3.8,3.4,1.1,3.1,wolf of wallstreet.png,Thriller,True Story,https://www.youtube.com/watch?v=iszwuX1AK6A
18,Black Swan,"There's something about those movies which focuses on the protagonist who tries to reach perfection. Either it goes astray and leave a dull taste behind, or those, which just nails it like Whiplash did. Balck Swan is the later. A ballerina's  quest to be the best of herself and slowly in the way losing her mind to her devotion.  Nothing more can be said about the acting by Natalie Portman (who recieved an oscar for it) and the intelligent cinematography which very skillfully the blurring of reality of our protagonist. If you are looking for some inspiration with a dash of psychotic elements, this is right up your alley! ",1,0,0,2010,Darren Aronofsky,Natalie Portman,4.6,3.4,3.7,2.6,3.55,black swan.jpg,Dark,Thriller,https://www.youtube.com/watch?v=5jaI1XOB-bs
19,Joker,"Ah, finally we get to the most reprised role of all - the Joker! Todd Philips has portrayed his joker as the mentally unstable one who gradually finds solace within madness and eventually becomes a psycopath (not explicitely shown in the movie) but one can guess as this definitely isn't the anarchist that Nolan portrayed. So don't watch this film with the expectation of a criminal mastermind of a joker or else you would be disappointed. But rather watch it for the amazing cinematography, the awe-inspiring acting, the perfect dark setting. The storyline isn't much groundbreaking but for showing the origins of joker, it can't get better than this. One can only hope to see the deious schemes that the Joker is associated with would become evident with the upcoming movies but as a base for that, this definitely hits the home run!",1,0,1,2019,Todd Philips,Joaquin Pheonix,4.8,2.4,3.7,1.4,3,joker.png,Dark,Thriller,https://www.youtube.com/watch?v=zAGVQLHvwOY
20,Fight Club,"One of the most controversial movie out there! Upon it's release, it recieved many neagtive review such that it was considered a flop at the box office. It was only 6-7 years later that people can to realize how powerful it actually is! Granted, at the strat, it feels very abstract, the dialogue delivery isn't very staright forward and you sometimes feel lost. But the twist that it provides at the end set the basis of many psycological films for years to come! It maintains a very fine speed of story so you won't feel bored at any time. Trust me, if you are bored watching the films with similiar template of hero-villain-climax, then this movie will completely blow your mind!",1,0,1,1999,David Fincher,Edward Nortan,4.1,4.2,3.7,3.5,3.87,fight club.jpg,Dark,Thriller,https://www.youtube.com/watch?v=qtRKdVHc-cE
